Entity,Code,Year,Deaths in ongoing conflicts (high estimate) - Conflict type: all,Deaths in ongoing conflicts (best estimate) - Conflict type: all,Deaths in ongoing conflicts (low estimate) - Conflict type: all
Middle East,,2000,538,482,478
Middle East,,2001,653,588,580
Middle East,,2002,1161,1008,1001
Middle East,,2003,14765,8582,8578
Middle East,,2004,7556,5154,5117
Middle East,,2005,5416,4251,4166
Middle East,,2006,7206,6289,5449
Middle East,,2007,6192,5582,4824
Middle East,,2008,5112,4074,3903
Middle East,,2009,3162,2880,2518
Middle East,,2010,2597,2384,2025
Middle East,,2011,8958,7897,7407
Middle East,,2012,64545,58651,56323
Middle East,,2013,86721,81407,77344
Middle East,,2014,106374,100153,96503
Middle East,,2015,86819,81282,78378
Middle East,,2016,75344,72032,69866
Middle East,,2017,62643,55179,52543
Middle East,,2018,33136,29349,27511
Middle East,,2019,18620,16308,14626
Middle East,,2020,25058,14282,10759
Middle East,,2021,37846,26933,25503
Middle East,,2022,7665,6417,5556
Middle East,,2023,31511,27210,27057
World,OWID_WRL,1989,107660,67346,60647
World,OWID_WRL,1990,119942,95411,91095
World,OWID_WRL,1991,109912,83937,81021
World,OWID_WRL,1992,109139,75545,71159
World,OWID_WRL,1993,132588,73775,69197
World,OWID_WRL,1994,1701099,823473,395788
World,OWID_WRL,1995,89518,62297,58783
World,OWID_WRL,1996,112785,87351,75193
World,OWID_WRL,1997,123023,66675,62592
World,OWID_WRL,1998,86003,61099,55533
World,OWID_WRL,1999,137751,100063,97483
World,OWID_WRL,2000,112818,93617,90477
World,OWID_WRL,2001,58951,37597,35032
World,OWID_WRL,2002,54837,41094,38304
World,OWID_WRL,2003,76473,40108,38891
World,OWID_WRL,2004,70655,35893,34174
World,OWID_WRL,2005,23554,19150,18444
World,OWID_WRL,2006,37713,27050,25700
World,OWID_WRL,2007,35648,27986,26265
World,OWID_WRL,2008,48881,39040,38023
World,OWID_WRL,2009,60272,49868,46164
World,OWID_WRL,2010,42411,33485,32095
World,OWID_WRL,2011,51785,40710,39168
World,OWID_WRL,2012,103164,89921,86761
World,OWID_WRL,2013,132888,114404,108512
World,OWID_WRL,2014,171533,150587,143790
World,OWID_WRL,2015,149197,130922,125156
World,OWID_WRL,2016,133769,114823,109393
World,OWID_WRL,2017,127412,112112,107626
World,OWID_WRL,2018,101480,88438,83172
World,OWID_WRL,2019,89853,78455,72755
World,OWID_WRL,2020,124696,104438,96879
World,OWID_WRL,2021,264868,235388,228422
World,OWID_WRL,2022,409911,310307,278287
World,OWID_WRL,2023,249407,153702,131101
